Suquelish Dykailum 
Altitude: floyinjeer
Always: Opees
Amaze: Zeflin
Amazement: Zeflinnent
Amazing: Zeflinnig
Ambassador: Diplotajer
Amber: Bernooz
Ambition: Gollegan
Ambitious: Golleggois
America: Eragoit
American: Eragioshan
Amid: Dayxoe
Ammonia: Niamontah
Ammunition: Tontojeda
Amnesia: Demenzia
Amnesty: Korbadoe
Amoeba:  germoki
Among: Teljun
Amount: sumost
Amphibian: Oxzinian
Amphibious: Oxzinioos
Ample: Quasum
Amplify: Pinspori
Amputate: Kudzinate
Amulet: Jewgellat
Amuse: Semoos
Amusement: Semoosant
Anaconda: Kondamith
Anaesthetic: Thesianik
Analogy: Hepranati
Analyse: Sandrafzi
Analysis: Sandrafanas
Anarchy: Chynotah
Anatomist: Mordatolist
Anatomy: Mordatomy
Ancestor: Stromagoe
Ancestry: Stromagoni
Anchor: Chomar
Ancient: Oidem
Anckle: Kloyon
Andes: Andes
Anemia: Miadara
Anemia: Miadara
Anemone: Jelfifin
Anew: Repree
Angel: Powatma
Anger: Gleech
Angle: Panpish
Angry: Gleechi
Anguish: Gleechoom
Angular: Panpishar
Animal: Punparl
Animate: Punjerit
Animosity: Ubadatomi
Anise: Peprin
Annex: Zadrok
Annihilate: Quagmiroetin
Annihilation: Quagmiriffon
Anniversary: Yoliadzoti
Announce: Hetsarch
Annoy: Ebroy
Annual: Upand
Annul: Zaxi
Anoint: Kriskin
Another: Ernoah
Answer: Dekture
Ant: Nox
Antagonism: Ubradolism
Antagonistic: Ubradolamik
Antagonize: Ubradalam
Antartica: Oingelmia
Antelope: geegillim
Antenna: Extenta
Anthem: Sorga
Anther: Therran
Anthrax: Zarthan
Anthropology: Didassodi
Antibiotic: Anafallinik
Anticipate: Ingafraton
Antics: Jujids
Antidote: Alexima
Antique: Oichent
Antiquity: Oinchentreo
Antiseptic: Tesiponal
Antitoxin: Alexima
Antler: Horneer
Antonym: Opkailsit
Anvil: Livon
Anxiety: chogerillsah
Anxious: Choger
Any: Onee or Ony
Aorta: Menselstom
Apache: Apachee
Apart: Umlout
Apartment: Flatlout
Ape: Monjee
Apex: Tapix
Aphid: Merrin
Apocalypse: Intatavex
Apology: Plomaji
Apostasy: Purunatek
Apostle: Stellitar
Apostraphe:  Bruchinah
Apothecary: Akhetami
Appall: Lapoon
Apparatus: Dekrapartis
Apparel: Bavisil
Apparent: Jumantik
Apparition: Banshi
Appeal: Trafelt
Appear: Goivkit
Appease: Pleezont
Appendicitis: Puntanoratis
Appendix: Puntanor
Appetite: chowteemer
Applaud: klapid
Applause: Klapis
Apple: Munzel or Ponell
Appliance: Aderhoo
Applicant: Zafronan
Application: Zafronanshin
Apply: Zanfroy
Appoint: Shahvent
Appolo: Falsillo
Appraisal: Mogpella
Appraise: Mohpell
Appreciate: Vinvanjilloe
Apprehend: Kapitorn
Apprentice: Stutradee
Apprenticeship: Stutradeefon
Approach: Kamerch
Appropriate: Abisikon
Approve: Thaygon
Approximate: Gestament
Apricot: Plampish
April: Rubbon
Apron: Funtus
Aptitude: Darmekal
Aquarium: Plaquarium
Arab: Raggi
Arabia: Raggia
Arabic: Ragibek
Arcade: Bligpoe
Arch: Shree
Archaeology: Sintenology
Archaic: Sintenchic
Archer: Shreecher
Archery: Shreechery
Architect: Masovin
Architecture: Masovinchur
Archives: Vastaboos
Arctic: Tektroon
Are: Moe
Area: Haxeo
Arena: Nahrea
Argue: Orid
Argument: Oridant
Arise: Emleez
Arizona: Anoozia
Ark: Boeshi
Arkansas: Anasasar
Arm: nexten
Armada: Gweefati
Armadillo: Gweematata
Armament: Nogahpant
Armor: Nogor
Armory: Nogori
Armpit: Nogdelt
Army: Udarban
Arnica: Niamputa
Aroma: Smelkah
Around: Enserkan
Arraign: Remat
Arrange: Woonell
Arrear: Obalk
Arrive: hiskod
Arrogant: Konsejent
Arrogate: Plaqahnate
Arrow: Darteesk
Arrowroot: Darteeskrut
Arsenal: Neblamot
Arsenic: Kraddermuk
Arson: Urtan
Art: Kreet
Artery: Vanifon
Artichoke: Choykari
Article: Kalumbet
Artificial: Fakooserp
Artist: Kreetost
Artistic: Keetostik
As: Ays
Asail: Adrotel
Ash: Trah
Ashamed: Shazbint
Ashtray: Trahsheeb
Ask: Telm
Asparagus: Ootseorut
Aspen: Tremblon
Asphalt: payvult
Asphyxiate: Suffandrian
Aspirate: Dorgonan
Aspire: Anvolnar
Aspirin: Prinabi
Assailant: Adrotelant
Assassin: Ninjorin
Assassinate: Ninjorykate
Assassination: Ninjorygorin
Assemble: Kreatat
Assembly: Kreatati
Assert: Embelt
Assertive: Embeltiff
Assess: Oibem
Assessment: Oibemant
Asset: Orin
Assign: Esrat
Assignment: Esratmant
Assist: Esisk
Assistant: Esiskent
Associate: pomerial
Association: Pomerialtan
Assort: leemet
Assume: Ebbrue
Assuming: Ebbrunig
Assumption: Ebbrutan
Assurance: Agrayka
Assure: Agray
Assured: Agrayt
Assyria: Ubraybia
Aster: Strikoe
Asthma: Humait
Astonish: Owonstish
Astonishing: Owonsnig
Astound: Owonstout
Astringent: Stifukoe
Astrologer: Sharinist
Astrology: Sharinistry
Astronaut: Sharindowk
Astronomer: Sharinist
Asylum: Kookoohass
At: Ohg
Ate: Grum
Athlete: Thelnot
Aticulate: Jurtanalit
Atlanta: Tohnoeska
Atlantic: Tohnoelak
Atlas: Gahsera
Atmosphere: Senberdane
Atom: Motak
Atone: Vahsar
Atrocity: Qutelmoe
Atrophy: Plamboni
Attach: glukon
Attack: Ryofe
Attain: Nemit
Attempt: Nemblot
Attend: Opren
Attention: Quhdachin
Attic: Kodmur
Attorney: Avoykon
Attract: Drawzen
Attractive: Drawzenive
Attribute: Dinkatat
Auction: Aruab
Auctioneer: Aruabine
Audible: Hearvichel
Audience: Hearvicham
Audio: Hearvanoe
Audit: Jorqon
Audition: Hearvichi
Auditorium: Hearvichorium
Auditory: Hearvichneechi
August: Issakar 
Aunt: Proom
Aura: Zoma
Auricle: Shuklerum
Australia: Ostreodah
Austria: Striatova
Authentic: Gangahbik
Authority: Montramady
Authorize: Montrazim
Autograph: Abliskrib
Automotive: Ablimot
Autopsy: Examordat
Avail: Othella
Available: Othelluffa
Avalanche: Zaxrapeen
Avanue: Toratah
Avenge: Romog
Aventure: Armooquay
Average: Vextentoe
Aversion: Dupugnant
Avert: Plejat
Aviator: Skoitamana
Avocado: Pitgramama
Avoid: Uvoit
Await: Evon
Awake: Enoosh
Awaken: Enooshan
Award: Enabe
Aware: Elzin
Away: Ohvay
Awe: Yoot
Awesome: Yootmesoe
Awful: Yootiff
Awhile: Essach
Awkward: Dwimpek
Awl: Ruk
Awoke: Enoke
Ax: Chop
Axial: Joigal
Axiom: Suderio
Axis: Saxoy
Axle: Brinkot
Aztec: Trageef
B
Baal: Falson
Babble or Babel: Gibbish
Baboon: Podoe
Baby: Enfon
Babylon: Irakolyn
Babylonia: Irakolonia
Bachelor: Chantort
Bacillus: Jermat
Back: Zurk
Bacon: Zizzel
Bacteria: Jermar
Bacteriology: Jerrmaristry
Bad: Roht
Bag: Gach
Baggage: Gachog
Bake: Boak
Baker: Boakeer
Bakery: Boakeri
Balance: Bykarch
Balcony: Bo’ahkni
Bald: Shav
Ball: Rount
Ballet: Loomart
Ballot: Vollot
Bamboo: Dantoo
Ban: Thage
Banana: Banarsha
Bandage: Wappeeg
Bank: Ponufer
Bar: Strik (Iron Bar, Rod); Rooghoss (Tavern, Bar, Saloon)
Barbacue: Chafzannar
Barbar Shop: Snyrett Troe
Barbar: Snyrett
Bare: Nade
Bargain: Kopane 
Bark: Pith, (on Trees), Bow (Dog Sound)
Barren: Emplich
Barrier: Blokwallage
Barrow: Zillern
Barrowed: Zillernt
Barrowing: Zillernig
Base: Forg
Baseball: Forgrount
Basement: Forgate
Bashful: Shyska
Basin: Boween
Basis: Foris
Basket: Kyttart
Bath: Kleant
Bathe: Klaynt
Bathroom: Sloan
Battle: Byunate
Be: Boe
Beach: Pellooch
Beam: Gom
Bean: Glaych
Bear: Bahjorb
Beard: Jorp
Beast: Gonstor
Beat: Powl
Beautician: Stukripoos
Beautiful: Brewwin
Beauty Salon: Brewwitroe
Beauty: Brewwi
Became: Boklame
Because: Bojorse
Become: Boklum
Bed: Kodj
Beds: Kodjis
Bee: ayn
Been: Bween
Beer: Roog
Beet: Kasree
Before: Borofe
Beforehand: Boroefsage
Beg: pog
Begin: Roed
Beginner: Roedar
Beginning: Roeddnig
Behave: Borvay
Behavior: Borvayer
Behind: Bozurk
Belief: Fayfife
Believe: Fayfeel
Bell: Gong
Belong: Bopraze
Below: Pahki
Belt: Woreen
Bench: tablah
Bend: folt
Berry: Pruse
Beside: Bokay
Best: Stroot
Betray: Tresoy
Better: Glappy
Between: Poemet
Beyond: Bozond
Bible: Kamitoar
Bicarbonate: Karbolik
Biscuit: Quinfoelts
Bicycle: Petrogoe
Big: Huge
Bill (as in Ducks Bill) Quib
Bill: Invoy
Billion: Kreegon
Bind: Nytess
Bind: Twine
Binding: Twynnig
Biography: Felliskrib
Biologist: Felliost
Biology: Felliostry
Birch Popzel
Bird: Swingi
Birth: Parth
Birthday: Parthestoe
Bit: jik
Bite: Jike
Bitter: Jikker
Bitterness: Jikkernoss
Black: Arnoe
Blanket: Kohvren
Blend: Flohj
Bless: oint
Blew: Yeen
Blind: Thoig
Blindness: Thoignoss
Bliss: Playsheer
Blizzard: Stoyshard
Block: Perron
Blockade: Perrage
Blood: Heem
Bloom: Pun
Blouse: keeff
Blow: Yoin
Blue: Ozuk
Blush: Robbi
Board: Plunk
Boardinghouse: Plunknighoss
Boat: Kobahk
Body: Mordat
Boil: Vartel
Bold: Braft
Boldly: Braftly
Bond: Natess
Bone: Soge
Book: Toar
Bookstore: Toartroe
Boots: Boorz
Bore: Swiar
Bored: Swiart
Boring: Swiarnig
Born: Perth
Both: Twane
Bottle: Teltob
Bottom: Teltum
Boulevard: Strahzoe
Boundary: Darkeedah
Bow: As in Archery ( Thetch)
Bow: As in kneel (Zox)
Bowl: Keblue
Box: Krat
Boy: Klum
Brag: Boesk
Braid: Tweeve
Brain: Kohghoss
Brake: Heesk
Brand: Labool
Brasseire: Seroo
Brave: korff
Bravely: Korffly
Bread: Poonj
Break: Shatch
Breakfast: Magengarb
Breast: Beej
Breath: Halth
Breathe: Halthy
Breathing: Halthnig
Breeze: Brind
Breeze: Zeef
Brew: Stabbot
Brewery: Stabbottry
Brick: Mudj
Bridge: Puteen
Brief: Shork
Briefcase: Shorkrat
Bright: Namp
Brighten: Nampan
Brilliance: Anarmase
Brilliant: Anarmat
Brilliantly: Anarmatli
Bring: Rim
Brisk: Vig
Broad: Yomon
Broken: Shatchen
Brooch: Kammin
Brook: Strehm
Broom: Swiffer
Brothel: Fraphoss
Brother: Thossel
Brown: Yeeth
Brush: Swinch
Brutal Kraggal
Brute: krag
Brutish: Kraggash
Bubble: Blerp 
Budget: Lonnet
Buffalo: Byffen
Build: Konstron
Building: Konstronig
Built: Knostront 
Bullet: Projek
Bundle: Duptil
Burial: Yithplotel
Burn: Kiln
Burst: Lup
Bury: Yithplot
Bus: Tran
Business: Sanziben
Businessman: Sanzibenmare
Busy: Sanzi
Butcher: Kumea
Butter: Glutter
Butterfly: Glutterswinji
Button: Batin
Buy: Tarn
By: Han
Bye: Chon
C
Cab: Kraf 
Cabbage: Borgeesh
Cake: Keek
Calamity: Mitakeli
Calander: Nerquim
Calculate: Nerbrillet
Calculation: Nerbrillepoin
Call: Holell
Calm: Moorn
Camera: Snaproga
Cameraman: Snaprogammare
Camp: Dort
Can: Dom
Candidate: Tomerrisk
Candle: Wikzil
Candy: Purrah
Cane: Neech
Cannon: Boomix 
Canvas: Seekon
Capable: Stromahbull
Capacity: Stromahjobi
Capital: Gahpikah
Capitalist: Gahpikist
Captain: Rabbtin
Capture: Glegel
Car: Varoom
Card: Parch
Care: Jahl
Career: Jobet
Carefree: Jahlap
Careful: Jahlfig
Carefully: Jahlfiggi
Careless: Jahlloo
Caress: Sassoor
Carnival: Serkatoe
Carpenter: Konstroneer
Carrot: Klon
Carry: Roban
Cartoon: Anim
Case: Sebrif
Cashier: Ponsheer
Cassette: Tesskah
Castle: Gwydir
Cat: Grut
Catch: Tooj
Category: Nipolli
Cathedral: Thasheppal
Cattle: Telleen
Catsup: Lenmip
Cause: zeesh
Cautious: Bekshis
Cease: Kloof
Ceiling: Yenok
Celebrate: Kumabrate
Celery: Kraysp
Cemetery: Inturat
Censor: Sorder
Censorship: Sorderay
Cent: Trastel
Center: Sentrin
Central: Sentrik
Century: Sentrium
Cereal: Trixail
Ceremony: Lumorjeot
Certain: Bateen
Chain: Tyke
Chair: Moyer
Chairman: Moyermare
Chalk: Lyme
Challenge: Plumeesh
Champagne: Poprich
Champion: Nadoshin
Chance: Brux
Change: Geenj
Chapter: Paptroon
Character: Jimaddeer
Characteristic: Jimadeeristik
Charge: Jarg
Charm: Mez
Charming: Meznig
Chart: Lorg
Chat: Bab
Cheap: Hort
Cheat: Hoyspah
Cheating: Hoyspahnig
Check: Krafe
Cheer: Joyjix
Cheerful: Joyjixfill
Cheese: Kase
Chemical: Kompenal
Chemistry: Kompenji
Cherry: Dreepah
Chess: Tak
Chest: Hest
Chick: Cherk
Chicken: Cherkon
Chief: Abtineff
Child: Bolis
Childish: Bolisy
Children: Bolissen
Chimney: Neechan
Chin: Jahrg
Chocolate: Nahki
Choice: Kwahn
Choose: Kwanik
Choosing: Kwahnig
Chop: Poch
Chopped: Pocht
Chopping: Pochnig
Chord: trope
Chorus: Trodus
Christ: Suwachi 
Church Shappal
Cigar: Broemel
Cigarette: Melkah
Circle: Rount
Circumstance: Hanzumris
Circus: Rave
Citizen: Helmyzen
City: Helm
Civil: Helpon
Civilization: Helponoshian
Claim: Fert
Clap: Panj
Class: Sohl
Classical: Sohleemal
Classification: Sohleemalia
Clause: Gram
Clean: Klenth
Cleanliness: Klenthinoss
Clear: Spers
Clever: Vertrog
Climate: Envron
Climb: Rup
Clinic: Deppik
Clock: Albek
Close: Larf
Closed: Larft
Cloth: Sheem
Clothes: Dudz
Cloud: Floof
Cloudy: Floofy
Clown: Azeeb
Club: Shab
Clumsy: Doofy
Coal: Flinteej
Coarse: Rekt
Coat: Jort
Cob: Corch
Coffee: Grahs
Coin: Trastel
Coincide: Togethah
Coincidence: Togethahboe
Cold: Chize
Coldness: Chiznoss
Collar: Nekum
Colleague: Koghewsian
Collect: Gathit
College: Koghaus
Collide: Klusheed
Collided: Klusheet 
Collision: Klusheedon
Color: Bloomun
Colored: Bloomunt
Colossal: Gianzzel
Comb: Brum
Combat: Shikodan (hand to hand type)
Combination: Nobershahnan
Combine: Nobersh
Combined: Nobersht
Combining: Nobershnig
Comedy: Funaffy
Comensation: Payonashin
Comfort: Soothin
Comfortable: Soothineob
Comic: Funnik
Command: Kodrik
Commerce: Sanziben
Commercial: Sanzitelm
Commission: Nyoleen
Commit: Nyol
Committee: Nyoltee
Common: Rarnom
Communicate: Telmeranate
Communication: Telmeranashin
Compact: Bindet
Company: Groupany
Compare: Jektan
Comparison: Jektandian
Compass: Jorvillel
Compel: Forseet
Compensate: Payona
Compete: Lobriff
Competition: Lobriffishin
Compilation: Pardialashin
Compile: Pardial
Compiler: Pardialer
Complain: Landon
Complained: Landontad
Complaint: Landont
Complex: Zidrix
Complextion: Zidrixin
Complicate: Diffikuse
Complication: Diffikusion 
Compliment: Melormin
Complimentry: Melorminy
Compose: Dasheen
Composer: Dasheenar
Composition: Dasheenort
Compromise: Semoden
Compulsory: Yandeallun
Computation: Pardialin
Computer: Pardialum
Comrade: Dinroo
Conceal: Heedoil
Conceit: Jabroot
Concentrate: Forkusrin
Concept: Provern
Concern: Yonern
Concerning: Yonernig
Concert: Playfon
Conclude: Entuk
Conclusion: Entukshin
Condition: Steepolin
Conduct: Kobrine
Conductor: Kobrinor
Confess: Konflist
Confession: Konflishin
Confide: Troleem
Confidence: Troleemans
Confirm: Porvam
Conflict: Lubport
Confuse: Trikam
Confusing: Trikamnig
Confusion: Trikamshin
Congragate: Gatherin
Congragation: Gatherashin
Congress: Amud
Connect: Joinate
Connection: Joinashin
Conquer: Oovlard
Conscience: Parkohg
Conscious: Saykohg
Consent: Permars
Consented: Permarst
Consenting: Permarsnig
Consider: Manatan
Consist: Manoost
Constipation: Pandulay 
Constitute: Kravolute
Constitution: Kravolushin
Construct: Stravolt
Constructed: Stravolted
Constructing: Stravoltnig
Consul: Konsul
Consultant: Konsulator
Consume: Kattip
Contain: Dupell
Contempt: Loethep
Contemptuous: Loethepeus
Content: Koleem
Contents: Koleems
Continent: Teniant
Continue: Paldaree
Contract: Dekry
Contradict: Konfewj
Contradicting: Konfewjnig
Contradiction: Konfewjaysen
Contrary: Konfewji
Contrast: Hemolst
Control: Swayjer
Controlled: Swayjert
Controlling: Swayjernig
Convenient: Apprepia
Convention: Konfergress
Conversation: Kotelmayshin
Converse: Kotelm
Convict: Prisen
Conviction: Prisenshin
Cook: Shayf
Cooked: Shayft
Cookie: Shayfel
Cooking: Shayfnig
Cool: Chilm
Co-operate: Koejiamat
Copper: Gremetal
Copy: Dooplee
Cord: Bont
Cork: Plunj
Corn: Zealee
Corner:  Kattern
Corpse: Morpaz
Corpses: Morpazees
Correct: Rikort
Correspond: Telmadon
Corridor: Hallaveer
Cosmetic: Bootavik
Cosmetologist: Stukripoos
Cost: Proesk
Cotton: Glintin
Couch: Tash
Cough: Hak
Counsel: Sellone
Count: Bram
Country: Nanpirey
County: Distrea
Couple: Tanjoel
Courage: Korfage
Courageous: Korfagees
Course: Blumps
Courteous: Kentoenus
Courtesy: Kentony
Cousin: Rulan
Cover: Verkitch
Covered: Verkitcht
Covering: Verkitchnig
Cow: Moo
Coward: Moowert
Cozy: Zoky
Crackle: Spakkel
Cradle: Dolkrah
Cramp: Spass
Cranberry: Pulburran
Crank: Jib
Cranky: Jibbi
Crayons: Bliskyons
Crave: Lusp
Creak: Smaht
Cream: Jeam
Crease: Blant
Create: Mannute
Created: Mannutted
Creating: Mannutnig
Creation: Mannutshin
Creative: Manuttife
Creep: Jigoel
Crime: Injoor
Criminal: Injooral
Crisis: Kudos
Critic: Faltark
Critical: Faltareo
Criticism: Faltareom
Crooked: Ruksol
Cross: Glam
Crossing: Glamnig
Crowd: Gath
Crown: Boraidle
Cruel: Evolt
Cruelty: Evolty
Crush: Smish
Crust: Cowst
Cry: Womp
Cucumber: Bargrappoe
Cuff: Kigzan
Culture: Jigven
Cum: Jizz
Cunning: Slynig
Cup: Dorn
Cupboard: Dornyomon
Cure: Rem
Curiosity: Kagnitofaly
Curious: Kagnitus
Curly: Swivly
Current: Preswin
Curse: Hex
Curtail: Plejat
Curtain: Draypan
Curve: Joln
Cushion: Paddiln
Custom: Montreen
Cut: Sheer
Cutural: Jigvenal
Cyanide: Dorthaban
Cycle: Nedri
Cynic: Faltark
Cynnical: Faltarkal
D
Daily: Estoely
Dam: Bladj
Damage: Bladjeen
Damned: Hexred
Damp: Wenz
Dampness: Wenznoss
Dance: Jinse
Danger: Hazert
Dangerous: Hazertiss
Dare: Chall
Daring: Challnig
Dark: Nigak
Darken: Nigaken
Darkness: Nigaknoss
Darn: Spen
Data: Tada
Date: Lawd 
Daughter: Julase
Dawn: Sujun
Day: Estoe
Daydream: Estoebanshi
Dazzle: Zelltah
Dazzling: Zelltahnig
Dead: Dame
Deaf: Duff
Dealer: Yerol
Dear: Swahm
Death: Dath
Debate: Tibosh
Debt: Owf
Decay: Rottay
Decease: Dathain
Deceased: Dathaint
Deceive: Trikstot
December: Asher
Decency: Riggello
Decend: Droburn
Decent: Meesinch
Decent: Riggelt
Deceptive: Trikstotiff
Decide: Domay
Decision: Domashin
Deck: Ked
Declaration: Dextimashin
Declare: Dextima
Declaring: Dextimanig
Decline: Dassab
Decrease: Saboe
Decree: Ordex
Decreed: Ordext
Deed: Aird
Deep: Bokt
Deer: Inyin
Defend: Bahtow
Defense: Bahtows
Defenseless: Bahtowsuss
Define: Grigu
Defined: Grigoot
Definite: Grigitite
Definition: Grigullashin
Defy: Roebay
Degree: Plomee
Delay: Laytern
Delegate: Basihn
Delegation: Basihnashin
Deliberate: Onperpotah
Deliberation: Onperpotahshin
Delicacy: Yormidanty
Delicate: Yormidaint
Delicious: Daltasteon
Delight: Haploot
Delightful: Haplootfil
Delirious: Rumosavoise
Delirium: Rumosavom
Demand: Fensoot
Demanded: Fensootad
Demanding: Fensootnig
Demon: Dibbik 
Denial: Konfewjil
Dense: Thaks
Dental: Gritothal
Dentist: Gritothist
Depart: Tarpid
Department: Tarpidant
Departure: Tarpiddore
Depend: Nahleent
Dependable: Nahleentibol
Dependance: Nahleentans
Deposit: Nahkleet
Deprivation: Parvagwahshin  
Deprive: Parvag
Depth: Bokth
Describe: Folskrib
Described: Folskribt
Describing: Folskribnig
Description: Folskribshin
Desert: Joolbon
Deserted: Joolbont
Deserve: Palloy
Deserved: Palloyt
Deserving: Palloynig
Desire: Luzire
Desk: Poahzi
Despair: Sadair
Desperate: Rahperta
Despise: Hatust
Despise: Nakilon
Dessert: Sandrin
Destine: Kizmit
Destiny: Kizmitoe
Destroy: Yodees
Destroyed: Yodeesad
Destroying: Yodeesnig
Destruction: Yodeeshin
Detach: Tunkip
Detail: Folbrun
Detain: Bohalt
Determine: Hasvarjin
Detest: Nakileo
Develop: Evolgit
Developed: Evolgitad
Development: Evolgitant
Device: Mychug
Devil: Alloke
Devise: Fahtoze
Devote: Swaron
Dew: Wat
Diagnose: Onchexoe
Diagnosis: Onchexatay
Dial: Janbert
Dialect: Jankia
Diameter: honjigger
Diamond: Glammord
Diarrhea: Bresaddola
Dictionary: Dykailum
Did: Det
Die: Dow
Diet: Dowx
Dieting: Dowxnig
Diets: Dowxis
Differ: Daster
Difference: Dasterase
Different: Dasterant
Difficult: Hardokun
Difficulty: Hardokunly
Dig: Skoog
Digest: Konbrot
Digestion: Konbrotshin
Diligent: Vayjeront
Dim: Nim
Dimension: Morhossen
Diminsh: Nimnolish
Dinner: Nerflay
Diploma: Maplady
Direct: Jorvil
Dirt: Yith
Dirty: Yithy
Disadvantage: Dossarmoochay
Disagree: Dossgalziff
Disappear: Dossgoivkit
Disappoint: Dosshahvent
Disappointment: Dosshatventlent
Disapprove: Dossthaygon
Disaster: Mitakoe
Discipline: Swayjerfon
Disclose: Dosslarf
Discomfort: Dossoothin
Discontent: Dosskoleem
Discount: Dossbram
Discourage: Dosskorfage
Discourtesy: Dosskentony
Discrete: Dolyeet
Discretion: Dolyeeshin
Discuss: Dosstelm
Discussion: Dosstelmshin
Disease: Chexia
Disgrace: Dosshone
Disgust: Klomit
Dish: Bren
Dishes: Brennes
Dishonest: Dosshorgest
Dishonesty: Dosshorgesti
Dishonor: Dosshorgel
Disk: Skid
Disorder: Dosswoonell
Display: Dosspojoe
Displeasure: Dosstrilbola
Disposition: Dosslejahnoe
Dispute: Retoln
Disrespect: Dossrowlench
Disrespectful: Dossrowlenchfil
Dissatisfaction: Dosstisifayshin
Dissatisfied: Dosstisifad
Dissatisfy: Dosstisify
Distain: Dosskile
Distance: Lukoch
Distant: Lukot
Distinct: Domiot
Distinction: Domioshin
Distinguish: Domiosh
Distraction: Jabrohnshin
Distribute: Alonkay
Distribution: Alonkayshin
District: Zonet
Distrust: Dossfayt
Distrustful: Dossfayfil
Disttract: Jabrohnt
Disturb: Dossentrup
Disturbed: Dossentrupt
Divide: Seprit
Divine: Kamine
Division: Seproe’shin
Divorce: Seprois
Dizzy: Spinok
Do: Ode
Doctor: Depswah
Doctrine: Tineesh
Document: Lunkahvet
Documentary: Lunkahvezny
Dog: Bowi
Doing: Odenig
Doll: Leja
Dollar: Pon or American, Dolliar
Domestic: Hossettik
Don’t: Ode’nt 
Door: Kadmer
Dosage: Vezim
Dosages: Vezims
Dose: Vez
Dosed: Vezt
Double: Tanbol
Doubt: Skep
Dough: Flahn
Doughnut: Flahnchet
Down: Drahb
Doze: Seef
Dozen: Plertan
Draft: Chilt
Drag: Skimf
Dragged: Skimft
Dragging: Skimfnig
Drama: Mordon
Drank: Gark
Drastic: Stikoot
Draw: Skit
Drawer: Skitter
Dread: Forn
Dream: Gweej
Dreamed: Gweet
Dreaming: Gweejnig
Dress: Kass
Dressmaker: Kassmanert
Dried: Wilcht
Drink: Girk
Drive: Lahm
Driver: Lahmor
Driving: Lahmnig
Drop: Skup
Dropped: Skupt
Dropping: Skupnig
Drove: Lahmt
Drown: Quahn
Drugstore: Remaport
Drunk: Garkt
Dry: Wilch
Drying: Wilchnig
